2026-04-28 01:33:55 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 0% < 35%, avg_pnl=-3.40%, 11건)
2026-04-28 01:33:55 [ERROR] src.trading.risk_manager: [RISK] 주간 손실 한도 -20% 도달: -23.56% → 주간 매매 중단
2026-04-28 01:33:55 [ERROR] src.trading.risk_manager: [RISK] 주간 손실 한도 -20% 도달: -21.25% → 주간 매매 중단
2026-04-28 01:34:15 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:17 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:19 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:21 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:23 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:25 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:27 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:29 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:31 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:33 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:35 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:38 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:40 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:42 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:44 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:46 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:48 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:50 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:52 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:54 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:56 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:34:58 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:35:00 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:35:02 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:35:04 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:35:06 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:35:08 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:35:10 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:35:12 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:35:14 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
2026-04-28 01:35:16 [WARNING] src.strategy.setup_tracker: [SetupTracker] 셋업 PB(Pullback) 비활성 (승률 8% < 35%, avg_pnl=-2.92%, 12건)
